siteId,"name1","name2","birthdate"
0982348971234987234,Malika","Rhoades","1910-05-20"
"90873245987234509",Leola","Weeks","1920-05-20"
"site-08234759345",Yevette","Dortch","1930-05-20"
"example site ID",Santina","Rayford","1940-05-10"
"90873245987234509","Benita","Harwell","1950-05-20"
site-0918359854,"Phylis","Bravo","1960-05-07"
"site-08234759345","Joslyn","Martell","1970-05-20"
site-777-256,"Callie","Sweet","1980-05-20"
site-08234759345,"Sondra","Harlan","1990-05-20"
site-08234759345,"Lockett","Angla","2000-05-20"
